Criminal Race,City,State,Type of Offence,Type of Location,Bias Motivation,Year,ID
Unknown,Monterey Park,CA,Simple asslt,0,Anti-Black or African American,2017,HC506
Black or African American,Monterey Park,CA,Simple asslt,0,Anti-White,2017,HC507
Unknown,Pasadena,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC508
Unknown,Pasadena,CA,Destruct/vandalism,0,Anti-Other Religion,2017,HC509
Multi-Racial Group,Pasadena,CA,Agg asslt,0,Anti-Transgender,2017,HC510
Unknown,Monterey Park,CA,Destruct/vandalism,1,Anti-Male Homosexual,2017,HC511
Unknown,Monterey Park,CA,Agg asslt,0,Anti-Transgender,2017,HC512
Unknown,Monterey Park,CA,Destruct/vandalism,1,Anti-Male Homosexual,2017,HC513
Multi-Racial Group,Pomona,CA,Intimidation,1,Anti-Male Homosexual,2017,HC514
Multi-Racial Group,Pomona,CA,Agg asslt,0,Anti-Hispanic or Latino,2017,HC515
Unknown,Pomona,CA,Destruct/vandalism,0,Anti-Multi-Religious,2017,HC516
Unknown,San Fernando,CA,Destruct/vandalism,0,Anti-Other Christian,2017,HC517
Multi-Racial Group,San Gabriel,CA,Destruct/vandalism,0,Anti-Asian,2017,HC518
Unknown,San Gabriel,CA,Destruct/vandalism,0,Anti-Catholic,2017,HC519
Unknown,Santa Monica,CA,Agg asslt,0,Anti-Black or African American,2017,HC520
Unknown,Santa Monica,CA,Simple asslt,0,Anti-Male Homosexual,2017,HC521
Unknown,Santa Monica,CA,Agg asslt,0,Anti-Black or African American,2017,HC522
Multi-Racial Group,South Gate,CA,Robbery,0,Anti-Black or African American,2017,HC523
White,Torrance,CA,Agg asslt,0,Anti-Black or African American,2017,HC524
Black or African American,Torrance,CA,Simple asslt,0,Anti-Male Homosexual,2017,HC525
Unknown,Torrance,CA,Destruct/vandalism,1,Anti-Arab,2017,HC526
Multi-Racial Group,Torrance,CA,Agg asslt,1,Anti-Arab,2017,HC527
White,Torrance,CA,Simple asslt,0,Anti-Black or African American,2017,HC528
Unknown,Vernon,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC529
Unknown,Monterey Park,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC530
Unknown,West Covina,CA,Destruct/vandalism,0,Anti-Catholic,2017,HC531
Unknown,West Covina,CA,Destruct/vandalism,0,Anti-Catholic,2017,HC532
Unknown,West Covina,CA,Destruct/vandalism,0,Anti-Catholic,2017,HC533
Unknown,Monterey Park,CA,Intimidation,0,Anti-Jewish,2017,HC534
Unknown,Carson,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC535
Unknown,Carson,CA,Destruct/vandalism,0,Anti-Multi-Racial,2017,HC536
White,Long Beach,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC537
Unknown,Long Beach,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC538
Unknown,Long Beach,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC539
Unknown,Monterey Park,CA,Destruct/vandalism,1,Anti-Female,2017,HC540
Unknown,Monterey Park,CA,Destruct/vandalism,1,Anti-Female,2017,HC541
Unknown,Monterey Park,CA,Destruct/vandalism,1,Anti-Female,2017,HC542
White,Monterey Park,CA,Intimidation,1,Anti-Hispanic or Latino,2017,HC543
White,Monterey Park,CA,Intimidation,1,Anti-Black or African American,2017,HC544
Unknown,Monterey Park,CA,Burg/B & E,1,Anti-Black or African American,2017,HC545
Black or African American,Monterey Park,CA,Agg asslt,1,Anti-Female Homosexual,2017,HC546
Black or African American,Monterey Park,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC547
White,Monterey Park,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC548
White,Monterey Park,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC549
Unknown,Los Angeles,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC550
Unknown,Los Angeles,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC551
Unknown,Los Angeles,CA,Destruct/vandalism,0,Anti-Islamic,2017,HC552
White,Los Angeles,CA,Agg asslt,0,Anti-Black or African American,2017,HC553
Unknown,Los Angeles,CA,Destruct/vandalism,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC554
White,San Rafael,CA,Simple asslt,0,Anti-Islamic,2017,HC555
White,Novato,CA,Intimidation,1,Anti-Not Hispanic or Latino,2017,HC556
White,Novato,CA,Simple asslt,0,Anti-Hispanic or Latino,2017,HC557
Unknown,San Rafael,CA,Agg asslt,0,Anti-Black or African American,2017,HC558
White,San Rafael,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC559
White,San Rafael,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC560
Unknown,San Rafael,CA,Destruct/vandalism,0,Anti-Asian,2017,HC561
Unknown,San Anselmo,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC562
Unknown,San Anselmo,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC563
American Indian/Alaska Native,Ukiah,CA,Arson,1,Anti-Hispanic or Latino,2017,HC564
White,Fort Bragg,CA,Intimidation,1,Anti-Black or African American,2017,HC565
Unknown,Fort Bragg,CA,Destruct/vandalism,0,Anti-Protestant,2017,HC566
Multi-Racial Group,Atwater,CA,Simple asslt,0,Anti-Transgender,2017,HC567
Black or African American,Merced,CA,Simple asslt,0,Anti-Arab,2017,HC568
Multi-Racial Group,Salinas,CA,Agg asslt,0,Anti-Black or African American,2017,HC569
White,Gonzales,CA,Intimidation,1,Anti-Hispanic or Latino,2017,HC570
Multi-Racial Group,Monterey,CA,Intimidation,0,Anti-Male Homosexual,2017,HC571
White,Monterey,CA,Simple asslt,1,Anti-Asian,2017,HC572
White,Pacific Grove,CA,Agg asslt,0,Anti-Jehovah's Witness,2017,HC573
Unknown,Salinas,CA,Destruct/vandalism,0,Anti-Female Homosexual,2017,HC574
Unknown,Seaside,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC575
Unknown,Seaside,CA,Destruct/vandalism,0,Anti-Male Homosexual,2017,HC576
White,Saint Helena,CA,Intimidation,1,Anti-Hispanic or Latino,2017,HC577
Unknown,Saint Helena,CA,Destruct/vandalism,0,Anti-White,2017,HC578
Unknown,Nevada City,CA,Simple asslt,0,Anti-Female Homosexual,2017,HC579
White,Anaheim,CA,Agg asslt,1,Anti-Male Homosexual,2017,HC580
Unknown,Buena Park,CA,Destruct/vandalism,0,Anti-Arab,2017,HC581
Unknown,Costa Mesa,CA,Destruct/vandalism,0,Anti-Multi-Racial,2017,HC582
White,Costa Mesa,CA,Robbery,0,Anti-Black or African American,2017,HC583
Unknown,Garden Grove,CA,All other larceny,1,Anti-Hispanic or Latino,2017,HC584
Unknown,Garden Grove,CA,Arson,1,Anti-Not Hispanic or Latino,2017,HC585
Unknown,Garden Grove,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC586
White,Garden Grove,CA,Simple asslt,0,Anti-Transgender,2017,HC587
Black or African American,Garden Grove,CA,Agg asslt,1,Anti-Black or African American,2017,HC588
Unknown,Garden Grove,CA,Simple asslt,0,Anti-Asian,2017,HC589
White,Garden Grove,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC590
Black or African American,Garden Grove,CA,Robbery,0,Anti-White,2017,HC591
Black or African American,Huntington Beach,CA,Simple asslt,0,Anti-White,2017,HC592
White,Huntington Beach,CA,Agg asslt,0,Anti-Black or African American,2017,HC593
White,Laguna Beach,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC594
Unknown,Laguna Beach,CA,Simple asslt,0,Anti-Arab,2017,HC595
Multi-Racial Group,La Habra,CA,Intimidation,0,Anti-Black or African American,2017,HC596
Unknown,Newport Beach,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC597
White,Orange,CA,Intimidation,0,Anti-Black or African American,2017,HC598
Unknown,Placentia,CA,Destruct/vandalism,0,Anti-Not Hispanic or Latino,2017,HC599
White,San Clemente,CA,Destruct/vandalism,1,Anti-Arab,2017,HC600
Unknown,Santa Ana,CA,Destruct/vandalism,0,Anti-White,2017,HC601
Unknown,Santa Ana,CA,Destruct/vandalism,0,Anti-Protestant,2017,HC602
Unknown,Santa Ana,CA,Destruct/vandalism,0,Anti-Other Religion,2017,HC603
Multi-Racial Group,Tustin,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC604
White,Westminster,CA,Destruct/vandalism,0,Anti-Islamic,2017,HC605
Unknown,Westminster,CA,Intimidation,0,Anti-Islamic,2017,HC606
White,Westminster,CA,Simple asslt,0,Anti-Black or African American,2017,HC607
White,Westminster,CA,Simple asslt,0,Anti-Hispanic or Latino,2017,HC608
Unknown,Brea,CA,Intimidation,1,Anti-Jewish,2017,HC609
Black or African American,Irvine,CA,Intimidation,0,Anti-Not Hispanic or Latino,2017,HC610
White,Irvine,CA,Simple asslt,0,Anti-Arab,2017,HC611
Unknown,Irvine,CA,Burg/B & E,1,Anti-Asian,2017,HC612
White,Irvine,CA,Agg asslt,0,Anti-Black or African American,2017,HC613
White,Santa Ana,CA,Robbery,0,Anti-Hispanic or Latino,2017,HC614
Unknown,Roseville,CA,Destruct/vandalism,0,Anti-Islamic,2017,HC615
Unknown,Roseville,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC616
Unknown,Roseville,CA,Intimidation,0,Anti-Black or African American,2017,HC617
Unknown,Roseville,CA,Destruct/vandalism,0,Anti-Multi-Racial,2017,HC618
Unknown,Roseville,CA,Intimidation,1,Anti-Other Religion,2017,HC619
Unknown,Roseville,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC620
Unknown,Roseville,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC621
Unknown,Roseville,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC622
Unknown,Roseville,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC623
White,Roseville,CA,Intimidation,0,Anti-Male Homosexual,2017,HC624
White,Roseville,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC625
White,Roseville,CA,Intimidation,0,Anti-Black or African American,2017,HC626
Unknown,Roseville,CA,Intimidation,1,Anti-Black or African American,2017,HC627
White,Roseville,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC628
Unknown,Roseville,CA,Intimidation,0,Anti-Jewish,2017,HC629
White,Roseville,CA,Simple asslt,0,Anti-Black or African American,2017,HC630
Unknown,Roseville,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC631
White,Roseville,CA,Intimidation,0,Anti-Multi-Racial,2017,HC632
White,Quincy,CA,Agg asslt,0,Anti-Black or African American,2017,HC633
Unknown,Riverside,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC634
Unknown,Desert Hot Springs,CA,Agg asslt,0,Anti-Black or African American,2017,HC635
White,Indio,CA,Robbery,0,Anti-Black or African American,2017,HC636
Unknown,Riverside,CA,Destruct/vandalism,0,Anti-Protestant,2017,HC637
Black or African American,Palm Springs,CA,Simple asslt,0,Anti-Male Homosexual,2017,HC638
White,Palm Springs,CA,Simple asslt,0,Anti-Male Homosexual,2017,HC639
White,Palm Springs,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC640
Unknown,Riverside,CA,Destruct/vandalism,0,Anti-Catholic,2017,HC641
Black or African American,Riverside,CA,Simple asslt,0,Anti-Hispanic or Latino,2017,HC642
Unknown,Riverside,CA,Intimidation,0,Anti-Jewish,2017,HC643
Unknown,Riverside,CA,Destruct/vandalism,1,Anti-Jewish,2017,HC644
White,Riverside,CA,Simple asslt,0,Anti-Black or African American,2017,HC645
White,Riverside,CA,Arson,1,Anti-Hispanic or Latino,2017,HC646
Unknown,Riverside,CA,Destruct/vandalism,0,Anti-Catholic,2017,HC647
Multi-Racial Group,Riverside,CA,Simple asslt,1,Anti-Black or African American,2017,HC648
Unknown,San Jacinto,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC649
Unknown,Corona,CA,Destruct/vandalism,0,Anti-Not Hispanic or Latino,2017,HC650
White,Corona,CA,Agg asslt,0,Anti-Female Homosexual,2017,HC651
White,Riverside,CA,Intimidation,0,Anti-Buddhist,2017,HC652
Unknown,Moreno Valley,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC653
Black or African American,Moreno Valley,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC654
Unknown,Moreno Valley,CA,Intimidation,0,Anti-Male Homosexual,2017,HC655
Unknown,Murrieta,CA,Destruct/vandalism,0,Anti-Not Hispanic or Latino,2017,HC656
Unknown,Riverside,CA,Destruct/vandalism,0,Anti-Multi-Racial,2017,HC657
Unknown,Riverside,CA,Destruct/vandalism,0,Anti-Multi-Racial,2017,HC658
Unknown,Lake Elsinore,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC659
Unknown,Perris,CA,Burg/B & E,1,Anti-Hispanic or Latino,2017,HC660
Unknown,Sacramento,CA,Destruct/vandalism,0,Anti-Other Religion,2017,HC661
White,Sacramento,CA,Intimidation,0,Anti-Black or African American,2017,HC662
White,Sacramento,CA,Agg asslt,0,Anti-White,2017,HC663
White,Sacramento,CA,Robbery,1,Anti-Hispanic or Latino,2017,HC664
Black or African American,Sacramento,CA,Simple asslt,0,Anti-White,2017,HC665
Black or African American,Sacramento,CA,Intimidation,1,Anti-Transgender,2017,HC666
White,Sacramento,CA,Agg asslt,1,Anti-Female Homosexual,2017,HC667
Unknown,Sacramento,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC668
White,Sacramento,CA,Agg asslt,1,Anti-Black or African American,2017,HC669
Black or African American,Sacramento,CA,Intimidation,0,Anti-Arab,2017,HC670
Unknown,Sacramento,CA,Burg/B & E,1,Anti-Black or African American,2017,HC671
Black or African American,Sacramento,CA,Simple asslt,0,Anti-Transgender,2017,HC672
Unknown,Sacramento,CA,Destruct/vandalism,0,Anti-Islamic,2017,HC673
Unknown,Sacramento,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC674
White,Sacramento,CA,Destruct/vandalism,0,Anti-Catholic,2017,HC675
Unknown,Sacramento,CA,Burg/B & E,0,Anti-Black or African American,2017,HC676
Unknown,Elk Grove,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC677
Unknown,Elk Grove,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC678
Unknown,Elk Grove,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC679
Unknown,Sacramento,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC680
Black or African American,Sacramento,CA,Agg asslt,0,Anti-Hispanic or Latino,2017,HC681
White,Citrus Heights,CA,Intimidation,0,Anti-Female Homosexual,2017,HC682
White,Citrus Heights,CA,Destruct/vandalism,0,Anti-Not Hispanic or Latino,2017,HC683
Unknown,Sacramento,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC684
White,Hollister,CA,Simple asslt,1,Anti-Hispanic or Latino,2017,HC685
Unknown,San Bernardino,CA,Simple asslt,0,Anti-Black or African American,2017,HC686
Unknown,San Bernardino,CA,Intimidation,1,Anti-Black or African American,2017,HC687
Black or African American,Chino,CA,Destruct/vandalism,1,Anti-White,2017,HC688
Multi-Racial Group,Chino,CA,Intimidation,1,Anti-Male Homosexual,2017,HC689
White,Chino,CA,Intimidation,0,Anti-Black or African American,2017,HC690
Multi-Racial Group,Chino,CA,Agg asslt,0,Anti-Black or African American,2017,HC691
White,Chino,CA,Simple asslt,0,Anti-Black or African American,2017,HC692
Multi-Racial Group,Chino,CA,Agg asslt,0,Anti-Black or African American,2017,HC693
Unknown,Fontana,CA,Burg/B & E,1,Anti-Sikh,2017,HC694
Unknown,Fontana,CA,Robbery,0,Anti-Male Homosexual,2017,HC695
Unknown,Fontana,CA,Destruct/vandalism,1,Anti-Islamic,2017,HC696
Unknown,Ontario,CA,Intimidation,0,Anti-Physical Disability,2017,HC697
Multi-Racial Group,Ontario,CA,Destruct/vandalism,0,Anti-Not Hispanic or Latino,2017,HC698
White,Redlands,CA,Intimidation,1,Anti-Islamic,2017,HC699
White,Redlands,CA,Simple asslt,0,Anti-Black or African American,2017,HC700
White,Rialto,CA,Agg asslt,1,Anti-Hispanic or Latino,2017,HC701
Unknown,San Bernardino,CA,Robbery,0,Anti-Male Homosexual,2017,HC702
White,San Bernardino,CA,Burg/B & E,1,Anti-Male Homosexual,2017,HC703
White,San Bernardino,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC704
Black or African American,San Bernardino,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC705
White,San Bernardino,CA,Agg asslt,0,Anti-Black or African American,2017,HC706
White,San Bernardino,CA,Agg asslt,1,Anti-Multi-Racial,2017,HC707
White,San Bernardino,CA,Agg asslt,1,Anti-Multi-Racial,2017,HC708
Black or African American,San Bernardino,CA,Agg asslt,0,Anti-White,2017,HC709
Black or African American,San Bernardino,CA,Simple asslt,0,Anti-Male Homosexual,2017,HC710
Unknown,Adelanto,CA,Destruct/vandalism,0,Anti-White,2017,HC711
Unknown,San Bernardino,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC712
Unknown,Highland,CA,Destruct/vandalism,0,Anti-Not Hispanic or Latino,2017,HC713
White,San Bernardino,CA,Simple asslt,1,Anti-Hispanic or Latino,2017,HC714
Unknown,San Bernardino,CA,Destruct/vandalism,1,Anti-Not Hispanic or Latino,2017,HC715
Unknown,San Bernardino,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC716
Multi-Racial Group,San Bernardino,CA,Intimidation,1,Anti-Sikh,2017,HC717
White,San Bernardino,CA,Robbery,0,Anti-Black or African American,2017,HC718
Unknown,San Bernardino,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC719
White,San Diego,CA,Simple asslt,1,Anti-Black or African American,2017,HC720
Unknown,San Diego,CA,Intimidation,1,Anti-Black or African American,2017,HC721
Black or African American,San Diego,CA,Simple asslt,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC722
Unknown,San Diego,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC723
White,San Diego,CA,Intimidation,1,Anti-Hispanic or Latino,2017,HC724
Black or African American,San Diego,CA,Simple asslt,0,Anti-Male Homosexual,2017,HC725
Unknown,San Diego,CA,Destruct/vandalism,1,Anti-Male Homosexual,2017,HC726
White,San Diego,CA,Simple asslt,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC727
Unknown,San Diego,CA,Simple asslt,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC728
White,San Diego,CA,Agg asslt,0,Anti-Multi-Racial,2017,HC729
Unknown,San Diego,CA,Agg asslt,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC730
White,San Diego,CA,Simple asslt,0,Anti-Black or African American,2017,HC731
White,San Diego,CA,Simple asslt,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC732
White,Carlsbad,CA,Simple asslt,0,Anti-Black or African American,2017,HC733
Unknown,Carlsbad,CA,Robbery,0,Anti-Hispanic or Latino,2017,HC734
White,Carlsbad,CA,Simple asslt,1,Anti-Hispanic or Latino,2017,HC735
Unknown,Carlsbad,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC736
Unknown,Carlsbad,CA,Destruct/vandalism,0,Anti-Protestant,2017,HC737
Unknown,El Cajon,CA,Agg asslt,1,Anti-Male Homosexual,2017,HC738
Black or African American,El Cajon,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC739
White,El Cajon,CA,Destruct/vandalism,1,Anti-Black or African American,2017,HC740
Unknown,El Cajon,CA,Simple asslt,0,Anti-Black or African American,2017,HC741
White,El Cajon,CA,Intimidation,1,Anti-Black or African American,2017,HC742
Unknown,El Cajon,CA,Destruct/vandalism,0,Anti-Arab,2017,HC743
White,Escondido,CA,Destruct/vandalism,0,Anti-Multi-Racial,2017,HC744
White,Escondido,CA,Destruct/vandalism,0,Anti-Multi-Racial,2017,HC745
White,Escondido,CA,Agg asslt,0,Anti-Hispanic or Latino,2017,HC746
White,Escondido,CA,Agg asslt,0,Anti-Hispanic or Latino,2017,HC747
White,Escondido,CA,Intimidation,0,Anti-Hispanic or Latino,2017,HC748
White,La Mesa,CA,Agg asslt,1,Anti-Hispanic or Latino,2017,HC749
Black or African American,La Mesa,CA,Simple asslt,0,Anti-Female Homosexual,2017,HC750
Unknown,National City,CA,Agg asslt,1,Anti-Hispanic or Latino,2017,HC751
White,Oceanside,CA,Agg asslt,0,Anti-Hispanic or Latino,2017,HC752
Unknown,Oceanside,CA,Destruct/vandalism,0,Anti-Jewish,2017,HC753
White,Oceanside,CA,Robbery,0,Anti-Hispanic or Latino,2017,HC754
Unknown,Oceanside,CA,Destruct/vandalism,0,Anti-Black or African American,2017,HC755
Unknown,Oceanside,CA,Agg asslt,0,Anti-White,2017,HC756
White,Oceanside,CA,Destruct/vandalism,0,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2017,HC757
Unknown,San Diego,CA,Intimidation,0,Anti-Jewish,2017,HC758
Unknown,San Diego,CA,Intimidation,0,Anti-Male Homosexual,2017,HC759
Black or African American,San Diego,CA,Agg asslt,1,Anti-White,2017,HC760
Black or African American,San Diego,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC761
Unknown,San Diego,CA,Destruct/vandalism,1,Anti-Asian,2017,HC762
Unknown,San Diego,CA,Destruct/vandalism,0,Anti-Male Homosexual,2017,HC763
Black or African American,San Diego,CA,Agg asslt,0,Anti-Male Homosexual,2017,HC764
White,San Diego,CA,Robbery,0,Anti-Black or African American,2017,HC765
White,San Diego,CA,Robbery,0,Anti-Jewish,2017,HC766
Unknown,San Diego,CA,Intimidation,1,Anti-Male Homosexual,2017,HC767
Unknown,San Diego,CA,Intimidation,0,Anti-Black or African American,2017,HC768
